id,NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumPercent,NumQueryComponents,NumAmpersand,NumHash,NumNumericChars,NoHttps,RandomString,IpAddress,DomainInSubdomains,DomainInPaths,HttpsInHostname,HostnameLength,PathLength,QueryLength,DoubleSlashInPath,NumSensitiveWords,EmbeddedBrandName,PctExtHyperlinks,PctExtResourceUrls,ExtFavicon,InsecureForms,RelativeFormAction,ExtFormAction,AbnormalFormAction,PctNullSelfRedirectHyperlinks,FrequentDomainNameMismatch,FakeLinkInStatusBar,RightClickDisabled,PopUpWindow,SubmitInfoToEmail,IframeOrFrame,MissingTitle,ImagesOnlyInForm,SubdomainLevelRT,UrlLengthRT,PctExtResourceUrlsRT,AbnormalExtFormActionR,ExtMetaScriptLinkRT,PctExtNullSelfRedirectHyperlinksRT
8001,2,1,0,82,1,0,0,0,0,2,1,0,0,2,1,0,0,0,0,0,20,1,53,0,0,0,0.190476191,0.055555556,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,1,1,1,1
8002,2,1,2,48,1,1,0,0,0,0,0,0,0,5,1,1,0,0,0,0,32,9,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,-1
8003,1,0,4,88,7,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,12,69,0,0,0,0,0.092783505,0.267605634,0,1,0,0,0,0.020618557,0,0,0,0,0,1,0,0,1,-1,0,1,0,1
8004,2,1,4,47,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,22,18,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,-1
8005,3,1,2,44,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,20,0,0,0,0,1,0.8,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,-1,-1
8006,2,1,3,39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
8007,1,0,6,74,4,0,0,0,0,0,0,0,0,9,1,1,0,0,1,0,25,42,0,0,0,0,0.112359551,0.314814815,1,1,0,0,0,0.02247191,0,0,0,0,0,1,0,0,1,0,0,1,0,1
8008,2,1,3,75,2,0,0,0,0,0,1,0,0,10,1,0,0,0,0,0,20,34,13,0,0,0,0,0.148148148,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
8009,3,1,4,120,10,0,0,0,0,0,0,0,0,6,1,1,0,0,1,0,21,92,0,0,0,0,0.463157895,0.615384615,0,1,0,1,0,0.021052632,0,0,0,0,1,0,0,0,1,-1,0,0,0,0
8010,1,0,1,27,0,0,0,0,1,0,0,0,0,5,1,0,0,0,0,0,9,11,0,0,0,0,0.003070624,0.139534884,0,1,0,0,0,0.001023542,0,0,0,0,1,0,0,0,1,1,1,1,0,1
8011,3,1,4,61,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,20,34,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,-1,0,-1,-1
8012,4,0,3,79,0,0,0,0,1,0,5,5,0,11,1,0,1,0,0,0,12,22,37,0,0,0,0.375,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-1,1,1,0,0
8013,1,0,5,69,6,0,0,0,0,0,0,0,0,8,1,1,0,0,1,0,14,48,0,0,0,0,0.311926606,0.08,0,1,0,0,0,0.004587156,0,0,0,0,0,1,0,0,1,0,1,1,1,0
8014,5,1,2,59,0,0,0,0,0,0,1,0,0,5,1,0,0,0,1,0,20,17,14,0,0,0,0.102189781,0.333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
8015,2,1,3,36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
8016,2,0,5,59,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,24,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
8017,3,1,3,47,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,23,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,-1
8018,2,1,6,96,7,0,0,0,0,0,0,0,0,7,1,1,0,0,0,0,20,69,0,0,0,0,0.15,0.384615385,0,1,0,0,0,0.3,0,0,0,0,0,1,0,0,1,-1,1,1,0,0
8019,2,1,2,38,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,5,0,0,0,0,0,0.785714286,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,-1,1,1,-1
8020,4,1,2,52,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,14,31,0,0,1,1,0.933333333,1,0,1,0,0,0,0.066666667,1,0,0,0,0,0,0,0,1,1,-1,1,-1,-1
8021,3,1,1,56,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,19,15,14,0,0,0,0.095238095,0.394736842,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1
8022,3,1,4,48,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,25,16,0,0,0,0,0.0234375,0.733333333,0,1,1,0,0,0.03125,0,0,0,0,0,1,0,0,1,1,-1,1,0,1
8023,3,1,2,80,6,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,25,48,0,0,0,0,0.090909091,0.684210526,0,1,0,0,0,0.025974026,0,0,0,0,0,1,0,0,1,-1,-1,1,0,1
8024,2,1,3,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,13,0,0,0,0,0.102564103,0.111111111,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
8025,3,1,1,38,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,11,13,6,0,0,0,0.032786885,0.328125,0,1,1,0,0,0.010928962,0,0,0,0,1,0,0,0,1,1,0,1,0,1
8026,1,0,2,78,6,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,11,60,0,0,0,0,0.227272727,0.43902439,0,1,1,0,0,0.018181818,0,0,0,0,0,1,0,0,1,-1,1,1,0,1
8027,2,0,2,90,8,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,20,63,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,-1,1
8028,2,0,2,47,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,24,16,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1
8029,2,0,2,84,0,0,0,0,0,0,3,2,0,3,1,1,0,0,1,0,19,26,31,0,0,0,0.053333333,0.096153846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,0,1
8030,2,1,5,51,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,21,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
8031,2,1,0,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,1,0,0,0,0,0.5,0.80952381,0,0,0,0,0,0.1,0,0,0,0,0,1,0,0,1,1,-1,1,0,0
8032,1,0,4,40,0,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,21,12,0,0,0,0,0.475687104,0.52173913,0,1,0,1,0,0.002114165,0,0,0,0,0,0,0,0,1,1,-1,0,0,0
8033,3,1,6,64,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,21,36,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,-1,1,-1,-1
8034,2,0,7,93,1,1,0,0,1,0,0,0,0,13,1,1,0,0,0,0,23,63,0,0,1,0,0,0.333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,0,1
8035,2,1,0,111,4,0,0,0,1,0,5,4,0,11,1,1,0,0,0,0,12,1,90,0,0,0,0.004457652,0.003597122,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,-1,1,1,0,1
8036,2,1,1,28,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,14,7,0,0,0,0,0,0.206896552,0,1,0,0,0,0.024691358,0,0,0,0,1,1,0,0,1,1,1,1,-1,1
8037,1,0,8,92,3,0,0,0,0,0,0,0,0,9,1,1,0,0,1,0,13,72,0,0,0,0,0.314465409,0.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,0,0
