id,NumDots,SubdomainLevel,PathLevel,UrlLength,NumDash,NumDashInHostname,AtSymbol,TildeSymbol,NumUnderscore,NumPercent,NumQueryComponents,NumAmpersand,NumHash,NumNumericChars,NoHttps,RandomString,IpAddress,DomainInSubdomains,DomainInPaths,HttpsInHostname,HostnameLength,PathLength,QueryLength,DoubleSlashInPath,NumSensitiveWords,EmbeddedBrandName,PctExtHyperlinks,PctExtResourceUrls,ExtFavicon,InsecureForms,RelativeFormAction,ExtFormAction,AbnormalFormAction,PctNullSelfRedirectHyperlinks,FrequentDomainNameMismatch,FakeLinkInStatusBar,RightClickDisabled,PopUpWindow,SubmitInfoToEmail,IframeOrFrame,MissingTitle,ImagesOnlyInForm,SubdomainLevelRT,UrlLengthRT,PctExtResourceUrlsRT,AbnormalExtFormActionR,ExtMetaScriptLinkRT,PctExtNullSelfRedirectHyperlinksRT,CLASS_LABEL
1,3,1,3,51,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,29,0,0,0,0,0.923076923,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,-1,-1,1
2,4,1,4,65,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,28,30,0,0,0,0,0.090909091,1,1,1,0,0,0,0.818181818,1,0,0,0,0,0,0,0,1,0,-1,1,-1,-1,1
3,1,0,5,77,6,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,16,54,0,0,0,0,0.092783505,0.461538462,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,-1,-1,1,0,1,0
4,3,2,4,109,5,4,0,0,0,0,0,0,0,24,1,1,0,1,1,0,57,45,0,0,0,0,0.055555556,0.090909091,0,1,1,0,0,0.944444444,0,0,1,0,0,1,0,0,0,-1,1,1,1,-1,1
5,8,0,7,95,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,19,69,0,0,0,0,0.866666667,0.105263158,0,1,0,0,0,0.133333333,0,0,1,0,1,0,0,0,1,-1,1,1,0,-1,1
6,2,1,0,38,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,30,1,0,0,0,0,0.321428571,0.116666667,0,1,1,1,0,0.035714286,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0
7,4,0,3,195,0,0,0,0,3,0,10,8,0,56,1,0,1,0,0,0,12,22,153,0,1,0,0.375,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,-1,1,1,0,0,1
8,3,1,7,104,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,21,76,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,1,1,1,1,1
9,1,0,2,40,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,14,0,0,0,0,0.462686567,0.95,1,0,0,1,0,0.014925373,0,0,0,0,0,1,0,0,1,1,-1,0,0,0,0
10,3,1,4,49,0,0,0,0,0,0,0,0,0,9,1,1,0,0,0,0,16,26,0,0,0,0,0,0.785714286,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,-1,1,1,-1,1
11,4,0,3,84,0,0,0,0,0,0,0,0,0,22,1,1,0,0,1,0,16,61,0,0,0,1,1,0.083333333,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,-1,1,-1,1,-1,1
12,3,1,3,57,0,0,0,0,2,0,0,0,0,6,1,1,0,0,1,0,21,29,0,0,0,0,0.236024845,0.942307692,0,1,1,1,1,0.055900621,0,0,0,0,0,0,0,0,1,0,-1,0,0,1,0
13,2,1,3,47,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,21,0,0,0,0,0,0.32,0,1,0,0,0,0.018691589,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0
14,1,0,3,34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,14,13,0,0,0,0,0.6,0.055555556,1,1,0,0,0,0.4,0,0,0,0,0,1,0,0,1,1,1,1,0,-1,1
15,3,0,5,50,0,0,0,1,0,0,0,0,0,9,1,0,1,0,1,0,12,31,0,0,0,0,0,0.785714286,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,-1,1,1,-1,1
16,2,0,3,49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,28,0,0,1,0,0.911111111,0.857142857,0,1,0,0,0,0.088888889,1,0,0,0,0,0,0,0,1,1,-1,1,-1,-1,1
17,3,1,3,69,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16,46,0,0,0,0,0.095652174,0.096153846,0,1,1,0,0,0.008695652,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0
18,1,0,2,71,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,21,43,0,0,0,0,0.169014085,0.537037037,0,1,0,0,0,0.014084507,0,0,0,0,0,1,0,0,1,0,-1,1,0,1,0
19,1,0,2,97,13,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,14,76,0,0,0,0,0.067567568,0.423076923,0,1,0,0,0,0.067567568,0,0,0,0,0,1,0,0,1,-1,1,1,0,1,0
20,1,0,3,47,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,20,0,0,0,0,0,0.0625,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,-1,1,1
21,4,0,4,100,2,0,0,0,0,0,0,0,0,19,1,1,1,0,0,0,13,47,32,0,2,0,0,0.035714286,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,-1,1,1,1,1,1
22,3,0,4,66,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,23,36,0,0,0,0,0,0.166666667,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1
23,3,0,3,212,0,0,0,0,8,0,10,9,0,48,1,1,0,0,0,0,15,33,156,0,0,0,0.090909091,0.739130435,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,-1,-1,1,0,1,1
24,3,1,1,82,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,33,42,0,0,0,0,0.982142857,0.340909091,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,-1,1,0,0,-1,0
25,3,1,1,63,0,0,0,0,0,0,3,2,0,7,1,1,0,0,0,0,22,14,19,0,0,0,0.111111111,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
26,1,0,2,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,11,0,0,0,0,0.081081081,0.035087719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
27,1,0,2,85,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,19,59,0,0,0,0,0.315789474,0.75,0,0,0,0,0,0.065789474,0,0,0,0,1,0,0,0,1,-1,-1,1,0,0,0
28,2,1,3,39,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,20,12,0,0,0,0,0,0.0625,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1
29,2,1,5,62,0,0,0,0,2,0,1,0,0,3,1,0,0,0,1,0,16,33,5,0,0,0,0.043478261,0.275862069,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0
30,2,0,4,105,1,0,0,0,4,0,2,1,0,1,1,0,0,0,1,0,11,38,48,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,1,1,1,1
31,2,1,4,86,0,0,0,0,0,0,0,4,0,5,1,1,0,0,1,0,18,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,1,1,1,1,1
32,2,1,5,44,1,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,9,28,0,0,0,0,0.192307692,0.421052632,0,1,0,0,0,0.038461539,0,0,0,0,0,0,0,0,1,1,-1,1,0,1,0
33,1,0,2,70,8,0,0,0,0,0,0,0,0,3,1,1,0,0,1,0,15,48,0,0,0,0,0.148648649,0.988888889,1,1,1,0,0,0.081081081,0,0,0,0,1,0,0,0,1,0,-1,1,-1,1,0
34,3,1,4,70,4,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,20,43,0,0,0,0,0.10483871,0.358208955,0,1,1,0,0,0.169354839,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
